Entry	Entry Name	Protein names	Gene Names	Taxonomic lineage	Organism	Organism (ID)	Gene Names (synonym)	Gene Names (primary)
P28679	OPS2_DROPS	Opsin Rh2 (Ocellar opsin)	Rh2 GA14120	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Brachycera (suborder), Muscomorpha (infraorder), Eremoneura (clade), Cyclorrhapha (clade), Schizophora (no rank), Acalyptratae (no rank), Ephydroidea (superfamily), Drosophilidae (family), Drosophilinae (subfamily), Drosophilini (tribe), Drosophila (genus), Sophophora (subgenus), obscura group (no rank), pseudoobscura subgroup (no rank), Drosophila pseudoobscura (species)	Drosophila pseudoobscura pseudoobscura (Fruit fly)	46245		Rh2
P28680	OPS3_DROPS	Opsin Rh3 (Inner R7 photoreceptor cells opsin)	Rh3 GA10619	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Brachycera (suborder), Muscomorpha (infraorder), Eremoneura (clade), Cyclorrhapha (clade), Schizophora (no rank), Acalyptratae (no rank), Ephydroidea (superfamily), Drosophilidae (family), Drosophilinae (subfamily), Drosophilini (tribe), Drosophila (genus), Sophophora (subgenus), obscura group (no rank), pseudoobscura subgroup (no rank), Drosophila pseudoobscura (species)	Drosophila pseudoobscura pseudoobscura (Fruit fly)	46245		Rh3
P28681	OPSD_CRIGR	Rhodopsin	RHO	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Cricetidae (family), Cricetinae (subfamily), Cricetulus (genus)	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	10029		RHO
P28682	OPSB_CHICK	Blue-sensitive opsin (Blue cone photoreceptor pigment)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Galloanserae (superorder), Galliformes (order), Phasianidae (family), Phasianinae (subfamily), Gallus (genus)	Gallus gallus (Chicken)	9031		
P28683	OPSG_CHICK	Green-sensitive opsin (Green cone photoreceptor pigment)	PRA1	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Galloanserae (superorder), Galliformes (order), Phasianidae (family), Phasianinae (subfamily), Gallus (genus)	Gallus gallus (Chicken)	9031		PRA1
P28684	OPSV_CHICK	Violet-sensitive opsin (Violet cone opsin) (Violet cone photoreceptor pigment)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Galloanserae (superorder), Galliformes (order), Phasianidae (family), Phasianinae (subfamily), Gallus (genus)	Gallus gallus (Chicken)	9031		
P29254	PSAA_SYNY3	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)	psaA slr1834	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Merismopediaceae (family), Synechocystis (genus), unclassified Synechocystis (no rank), Synechocystis sp. PCC 6803 (species)	Synechocystis sp. (strain PCC 6803 / Kazusa)	1111708		psaA
P29270	PSBA_TRIAZ	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Nostocaceae (family), Trichormus (genus)	Trichormus azollae (Anabaena azollae)	1164		psbA
P29403	OPSD_XENLA	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amphibia (class), Batrachia (superorder), Anura (order), Pipoidea (superfamily), Pipidae (family), Xenopodinae (subfamily), Xenopus (genus), Xenopus (subgenus)	Xenopus laevis (African clawed frog)	8355		rho
P29404	OPS4_DROPS	Opsin Rh4 (Inner R7 photoreceptor cells opsin)	Rh4 GA28288	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Brachycera (suborder), Muscomorpha (infraorder), Eremoneura (clade), Cyclorrhapha (clade), Schizophora (no rank), Acalyptratae (no rank), Ephydroidea (superfamily), Drosophilidae (family), Drosophilinae (subfamily), Drosophilini (tribe), Drosophila (genus), Sophophora (subgenus), obscura group (no rank), pseudoobscura subgroup (no rank), Drosophila pseudoobscura (species)	Drosophila pseudoobscura pseudoobscura (Fruit fly)	46245		Rh4
P30943	PHE2_RHDS2	Phycoerythrin alpha-2 chain, chloroplastic	cpeA2	cellular organisms (no rank), Eukaryota (superkingdom), Cryptophyceae (class), Pyrenomonadales (order), Pyrenomonadaceae (family), Rhodomonas (genus), unclassified Rhodomonas (no rank)	Rhodomonas sp. (strain CS 24) (Chroomonas sp. (strain CS24))	79257		cpeA2
P31088	PSAB1_TRIV2	Photosystem I P700 chlorophyll a apoprotein A2 1 (EC 1.97.1.12) (PsaB)	psaB1 Ava_2406	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Nostocaceae (family), Trichormus (genus), Anabaena variabilis (species)	Trichormus variabilis (strain ATCC 29413 / PCC 7937) (Anabaena variabilis)	240292		psaB1
P31355	OPSD_LITPI	Rhodopsin	RHO	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amphibia (class), Batrachia (superorder), Anura (order), Neobatrachia (suborder), Ranoidea (superfamily), Ranidae (family), Lithobates (genus)	Lithobates pipiens (Northern leopard frog) (Rana pipiens)	8404		RHO
P31694	PSBA2_NOSS1	Photosystem II protein D1 2 (PSII D1 protein 2) (EC 1.10.3.9) (Photosystem II Q(B) protein 2)	psbA2 psbA-2 psbAII alr3727; psbA3 psbA-3 psbAIII alr4592; psbA4 psbA-4 psbAIV all3572	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Nostocaceae (family), Nostoc (genus), unclassified Nostoc (no rank)	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	103690	psbA-2 psbAII; psbA-3 psbAIII; psbA-4 psbAIV	psbA2; psbA3; psbA4
P32036	PSBA_CUSRE	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Solanales (order), Convolvulaceae (family), Cuscuteae (tribe), Cuscuta (genus), Cuscuta subgen. Monogynella (subgenus)	Cuscuta reflexa (Southern Asian dodder)	4129		psbA
P32309	OPSD_CARAU	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Cypriniphysae (superorder), Cypriniformes (order), Cyprinoidei (suborder), Cyprinidae (family), Cyprininae (subfamily), Carassius (genus)	Carassius auratus (Goldfish)	7957		rho
P32310	OPSB_CARAU	Blue-sensitive opsin (Blue cone photoreceptor pigment)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Cypriniphysae (superorder), Cypriniformes (order), Cyprinoidei (suborder), Cyprinidae (family), Cyprininae (subfamily), Carassius (genus)	Carassius auratus (Goldfish)	7957		
P32311	OPSG1_CARAU	Green-sensitive opsin-1 (Green cone photoreceptor pigment 1)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Cypriniphysae (superorder), Cypriniformes (order), Cyprinoidei (suborder), Cyprinidae (family), Cyprininae (subfamily), Carassius (genus)	Carassius auratus (Goldfish)	7957		
P32312	OPSG2_CARAU	Green-sensitive opsin-2 (Green cone photoreceptor pigment 2)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Cypriniphysae (superorder), Cypriniformes (order), Cyprinoidei (suborder), Cyprinidae (family), Cyprininae (subfamily), Carassius (genus)	Carassius auratus (Goldfish)	7957		
P32313	OPSR_CARAU	Red-sensitive opsin (Red cone photoreceptor pigment)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Cypriniphysae (superorder), Cypriniformes (order), Cyprinoidei (suborder), Cyprinidae (family), Cyprininae (subfamily), Carassius (genus)	Carassius auratus (Goldfish)	7957		
P34094	PHYB_SOLTU	Phytochrome B	PHYB	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Solanales (order), Solanaceae (family), Solanoideae (subfamily), Solaneae (tribe), Solanum (genus)	Solanum tuberosum (Potato)	4113		PHYB
P35095	LHB2_RHOAC	Light-harvesting protein B-800/820 beta-1 chain (Antenna pigment protein beta-1 chain)	puc1B	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Beijerinckiaceae (family), Rhodoblastus (genus)	Rhodoblastus acidophilus (Rhodopseudomonas acidophila)	1074		puc1B
P35101	LHA1_RHOPA	Light-harvesting protein B-800-850 alpha chain A (Antenna pigment protein alpha chain A) (LH II-A alpha)	pucAA RPA2653	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Nitrobacteraceae (family), Rhodopseudomonas (genus), Rhodopseudomonas palustris (species)	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	258594		pucAA
P35103	LHA3_RHOPL	Light-harvesting protein B-800-850 alpha chain C (Antenna pigment protein alpha chain C) (LH II-C alpha)	pucAC	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Nitrobacteraceae (family), Rhodopseudomonas (genus)	Rhodopseudomonas palustris	1076		pucAC
P35104	LHA4_RHOPA	Light-harvesting protein B-800-850 alpha chain D (Antenna pigment protein alpha chain D) (LH II-D alpha)	pucAD RPA3012	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Nitrobacteraceae (family), Rhodopseudomonas (genus), Rhodopseudomonas palustris (species)	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	258594		pucAD
P35105	LHA5_RHOPA	Light-harvesting protein B-800-850 alpha chain E (Antenna pigment protein alpha chain E) (LH II-E alpha)	pucAE RPA1492	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Nitrobacteraceae (family), Rhodopseudomonas (genus), Rhodopseudomonas palustris (species)	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	258594		pucAE
P35106	LHB1_RHOPA	Light-harvesting protein B-800-850 beta chain A (Antenna pigment protein beta chain A) (LH II-A beta)	pucBA RPA2654	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Nitrobacteraceae (family), Rhodopseudomonas (genus), Rhodopseudomonas palustris (species)	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	258594		pucBA
P35107	LHB2_RHOPA	Light-harvesting protein B-800-850 beta chain B (LH II-B beta) (Antenna pigment protein beta chain B)	pucBB RPA4291; pucBE RPA1491	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Nitrobacteraceae (family), Rhodopseudomonas (genus), Rhodopseudomonas palustris (species)	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	258594	; 	pucBB; pucBE
P35356	OPSD_PROCL	Rhodopsin	RHO	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Crustacea (subphylum), Multicrustacea (superclass), Malacostraca (class), Eumalacostraca (subclass), Eucarida (superorder), Decapoda (order), Pleocyemata (suborder), Astacidea (infraorder), Astacoidea (superfamily), Cambaridae (family), Cambarinae (subfamily), Procambarus (genus)	Procambarus clarkii (Red swamp crayfish)	6728		RHO
P35357	OPSB_GEKGE	Blue-sensitive opsin P467 (Blue photoreceptor pigment)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Lepidosauria (class), Squamata (order), Bifurcata (clade), Gekkota (infraorder), Gekkonidae (family), Gekkoninae (subfamily), Gekko (genus)	Gekko gecko (Tokay gecko)	36310		
P35358	OPSG_GEKGE	Green-sensitive opsin P521 (Green photoreceptor pigment)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Lepidosauria (class), Squamata (order), Bifurcata (clade), Gekkota (infraorder), Gekkonidae (family), Gekkoninae (subfamily), Gekko (genus)	Gekko gecko (Tokay gecko)	36310		
P35403	OPSD_POMMI	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Gobiaria (clade), Gobiiformes (order), Gobioidei (suborder), Gobiidae (family), Gobiinae (subfamily), Pomatoschistus (genus), Pomatoschistus minutus complex (no rank)	Pomatoschistus minutus (Sand goby) (Gobius minutus)	13225		rho
P35860	PSBA_CHLEL	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Chlorophyta (phylum), core chlorophytes (clade), Trebouxiophyceae (class), Chlorellales (order), Chlorellaceae (family), Pseudochlorella (genus)	Chlorella ellipsoidea	3072		psbA
P36491	PSBA_POPDE	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Malpighiales (order), Salicaceae (family), Saliceae (tribe), Populus (genus)	Populus deltoides (Eastern poplar) (Eastern cottonwood)	3696		psbA
P36505	PHY1_PHYPA	Phytochrome 1	PHY1 PHYPADRAFT_222399	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Bryophyta (clade), Bryophytina (clade), Bryopsida (class), Funariidae (subclass), Funariales (order), Funariaceae (family), Physcomitrium (genus)	Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)	3218		PHY1
P37208	PHCB_PORPP	R-phycocyanin-1 beta chain (R-phycocyanin I beta chain)	rpcB cpcB	cellular organisms (no rank), Eukaryota (superkingdom), Rhodophyta (phylum), Bangiophyceae (class), Porphyridiales (order), Porphyridiaceae (family), Porphyridium (genus)	Porphyridium purpureum (Red alga) (Porphyridium cruentum)	35688	cpcB	rpcB
P40115	CRY1_SINAL	Cryptochrome-1 (Blue light photoreceptor)	PHR1	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Brassiceae (tribe), Sinapis (genus)	Sinapis alba (White mustard) (Brassica hirta)	3728		PHR1
P41590	OPSD_PSAFA	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Characiphysae (superorder), Characiformes (order), Characoidei (suborder), Characidae (family), Stethaprioninae (subfamily), Psalidodon (genus)	Psalidodon fasciatus (Banded astyanax) (Astyanax fasciatus)	223369		rho
P41591	OPSD_ANOCA	Rhodopsin	RHO	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Lepidosauria (class), Squamata (order), Bifurcata (clade), Unidentata (clade), Episquamata (clade), Toxicofera (clade), Iguania (suborder), Dactyloidae (family), Anolis (genus)	Anolis carolinensis (Green anole) (American chameleon)	28377		RHO
P41592	OPSR_ANOCA	Red-sensitive opsin (Red cone photoreceptor pigment)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Lepidosauria (class), Squamata (order), Bifurcata (clade), Unidentata (clade), Episquamata (clade), Toxicofera (clade), Iguania (suborder), Dactyloidae (family), Anolis (genus)	Anolis carolinensis (Green anole) (American chameleon)	28377		
P42196	BACS2_NATPH	Sensory rhodopsin-2 (Sensory rhodopsin II) (SR-II)	sop2 sopII	cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloarculaceae (family), Natronomonas (genus)	Natronomonas pharaonis (Natronobacterium pharaonis)	2257	sopII	sop2
P42259	HTR2_NATPH	Sensory rhodopsin II transducer (HTR-II) (Methyl-accepting phototaxis protein II) (MPP-II)	htr2 htrII	cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloarculaceae (family), Natronomonas (genus)	Natronomonas pharaonis (Natronobacterium pharaonis)	2257	htrII	htr2
P42497	PHYD_ARATH	Phytochrome D	PHYD At4g16250 dl4165c	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	Arabidopsis thaliana (Mouse-ear cress)	3702		PHYD
P42498	PHYE_ARATH	Phytochrome E	PHYE At4g18130 F15J5.100	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	Arabidopsis thaliana (Mouse-ear cress)	3702		PHYE
P46242	PSBA1_NOSS1	Photosystem II protein D1 1 (PSII D1 protein 1) (EC 1.10.3.9) (32 kDa thylakoid membrane protein 1) (Photosystem II Q(B) protein 1)	psbA1 psbA-1 psbAI alr4866	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Nostocaceae (family), Nostoc (genus), unclassified Nostoc (no rank)	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	103690	psbA-1 psbAI	psbA1
P46895	PSBA_PROMA	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA Pro_0252	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Prochlorococcaceae (family), Prochlorococcus (genus), Prochlorococcus marinus (species), Prochlorococcus marinus subsp. marinus (subspecies)	Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)	167539		psbA
